point,width,curvature,angle,x,y,apps,brake,steering_position
300,5,0.0247646602664969,1.49097514035244,2.29293660823547,166.239652089755,1.51366360350299,-0,16.4949883612665
305,5,0.0241548547027162,1.61327392777548,2.21075002568387,161.241057462794,3.56234205403939,-0,7.56439283017164
310,5,0.0230116641341378,1.73119022486761,2.5191930567457,156.252065479105,7.1810920337272,-0,6.14371006824601
315,5,0.0228922183240044,1.84594993101297,3.41813169945152,151.338266290281,9.29922435727128,-0,5.56080556009969
320,5,0.0240883925787294,1.9634014582698,4.89675446777974,146.564670787001,18.7698706940372,-0,10.9982224048424
325,5,0.0238224189840142,2.08317848717666,6.98761173000296,142.026587907968,21.0098265940914,-0,15.2485903961197
330,5,0.020991552188262,2.19521341510735,9.60658254585957,137.770528340764,21.4796262422997,-0,12.748240457757
335,5,0.016978363316424,2.29013820386907,12.6765430483794,133.827173895468,20.8531534468253,-0,6.05583463880976
340,5,0.0127483381503257,2.36445495753594,16.1143278836467,130.198008801143,20.8208363471541,-0,3.99543566386625
345,5,0.0091280134780243,2.41914583660681,19.7344682533673,126.749648052278,21.0978892808151,-0,3.35802083064185
350,5,0.00694025048313831,2.45931649650972,23.4859547162343,123.444604647744,21.6332895523912,-0,2.33539844370345
355,5,0.00637819147356145,2.49261260140147,27.3382294608854,120.257319370876,21.8834578379553,-0,2.28001634086947
360,5,0.00679693193905594,2.52555040993301,31.2806447738315,117.182404765922,21.7434300927385,-0,2.46762974941328
365,5,0.00736941673356779,2.56096628161457,35.3165554893968,114.231326550825,21.2537946816738,-0,2.73764262119566
370,5,0.00822799809771197,2.59995981869277,39.4893404157508,111.477828029337,20.11479481221,-0,3.2038863714132
375,5,0.00944849174719251,2.64415104330503,43.7813339339313,108.913367412203,19.233157279152,-0,3.76903437991903
380,5,0.0100999596227407,2.69302217172987,48.1597025583964,106.499718045928,18.4033296966554,-0,4.68265453141648
385,5,0.00975121360077938,2.74265010478867,52.6421985725255,104.285154808794,17.2531971294284,-0,4.01152249006347
390,5,0.00867986097011568,2.7887277912159,57.2397433342969,102.323694731973,16.5923716994489,-0,3.53259367354294
395,5,0.00693540122047318,2.82776594669238,61.9645146186816,100.688795397057,9.86111040674234,-0,2.56926562666105
400,5,0.004853855815392,2.85723908928204,66.7257326461234,99.1622362345355,9.27280759945798,-0,1.87609287559277
405,5,0.00337872071991377,2.8778205306203,71.5131110760797,97.7198635203574,8.87553592306848,-0,1.25198712937819
410,5,0.00320697688735305,2.89428477463847,76.3125926208001,96.3180987687006,8.54902502924876,-0,1.19168829897843
415,5,0.00390725462273755,2.9120703534137,81.1296415140544,94.9783375395756,8.16122716150027,-0,1.48945398330811
420,5,0.00454978075977726,2.93321294186999,85.972508717545,93.7350781157131,7.83735159514346,-0,1.79470450147519
425,5,0.00534527900868328,2.95795059129114,90.8565069175767,92.6662611104347,7.5163554813741,-0,2.0181008192304
430,5,0.00657466232778994,2.98775044463232,95.770366620378,91.7423849037393,7.22036658422883,-0,2.479350695316
435,5,0.00712492470724816,3.02199941221992,100.700455123101,90.9100794706413,7.06255891147753,-0,2.75044823126153
440,5,0.00639558557019864,3.05580068791353,105.649781667866,90.2008082085809,7.04682423404368,-0,2.44674138066911
445,5,0.00508936686473753,3.08451306900087,110.624666975489,89.7095446914411,7.383385254512,-0,1.89362967321425
450,5,0.00341821947164505,3.10578203484183,115.62032952166,89.5091294711536,8.02182489494038,-0,1.33724221808051
455,5,0.00146582735430577,3.11799215190671,120.617405662947,89.3404684326727,9.02507905028935,-0,0.654252558096914
460,5,0.000263084255444571,3.12231443093108,125.610265744606,89.0738688139309,15.9657962736728,-0,0.131670373641724
465,5,0.000722212291205694,3.12477767229771,130.604215477657,88.828377677821,16.7592463879084,-0,0.265058608099366
470,5,0.00228250401930126,3.13228946307397,135.599148956697,88.6033473231111,17.4038820698968,-0,0.933319916899076
475,5,0.00315914472476884,3.14589358493415,140.595479185432,88.4150916142211,17.941702856237,-0,1.35441490435179
480,5,0.00313837407955597,3.16163738194496,145.595161228226,88.3786965237214,18.2631456574598,-0,1.32298343381833
485,5,0.00336165287915887,3.17788744934175,150.594371802557,88.4644255486089,18.3666772247261,-0,1.30075575350523
490,5,0.00378893319720657,3.19576391453266,155.592640004076,88.595762612322,18.6004847526924,-0,1.54813139724812
495,5,0.00484740838204648,3.21735476848079,160.58981649674,88.7633406532495,18.5081485958154,-0,1.86705663354415
500,5,0.00741511985451318,3.24801108907219,165.583538781477,89.0063721953791,18.1916188201554,-0,2.75826279953018
505,5,0.011261707853664,3.29470315834264,170.553501522571,89.5510116002449,10.3295544387612,-0,3.51683290690527
510,5,0.0155083488214452,3.36162830003041,175.499452741664,90.2779049597824,8.98420263162596,-0,5.29517008213689
515,5,0.0193726557698252,3.44883081150859,180.375530982208,91.3767025874064,7.53651309757253,-0,8.84636678921584
520,5,0.0231528861631241,3.55514466634096,185.108279111681,92.9803174188576,3.9328649983123,-0,14.5647648020798
525,5,0.0260215262614578,3.67808069740241,189.6328120407,95.0982524334219,1.82139377495526,-0,9.20132183571674
530,5,0.0265530958515092,3.80951725268483,193.805768160301,97.8466031792992,0.55840057107703,-0,11.1214702176607
535,5,0.0254097615939152,3.93942439629839,197.620713266552,101.06733219483,0.0382565661749973,-0,12.7758337676739
540,5,0.0240191933524556,4.06299678366432,200.87487814,104.861004812783,0.0382225605476668,-0,8.16398259656664
545,5,0.0235851414159259,4.18200762058527,203.683555789368,108.993473874018,0.185632478870084,-0,6.44856257128742
550,5,0.0242163035851076,4.30151123308786,206.10145157736,113.368085841949,0.893324354216161,-0,7.68994298870686
555,5,0.0255026716549026,4.42580867118788,207.999496933139,117.990611734986,1.93207546387248,-0,9.34065603087032
560,5,0.0275267044414942,4.55838211142887,209.308540970959,122.813233142843,3.36531431068615,-0,10.2909250814753
565,5,0.0289457209038896,4.69956317479233,209.812671602037,127.782036232946,5.93395415532742,-0,10.3721487713669
570,5,0.0288634512686586,4.8440861052237,209.59591266816,132.773513585118,7.04843152235065,-0,9.98653289563232
575,5,0.0277997293866792,4.98574405686205,208.704503050269,137.689430497822,8.48250871903293,-0,10.3204980453116
580,5,0.0260072807991723,5.12026158232668,207.13174014967,142.431033323053,13.6741794760658,-0,10.3473241196255
585,5,0.0242475807834234,5.24589873628317,204.939616889318,146.921996923283,14.5771099699744,-0,11.0009647117331
590,5,0.0232803922860058,5.36471866895674,202.23573833828,151.123531326599,14.6405430528568,-0,12.3880233265482
595,5,0.0233706724997156,5.48134633092104,199.008020614798,154.938215432812,14.6996069806024,-0,13.8329152931326
600,5,0.0247278555147873,5.6015926509573,195.433194327527,158.431561954628,14.4814437224178,-0,12.1306596593572
605,5,0.0267404220721571,5.73026334492466,191.50142128384,161.514938874324,13.8055347821477,-0,7.25485697328789
610,5,0.0280580670885577,5.86725956782645,187.172187354492,164.007078361054,13.2724623106612,-0,5.73169379771174
615,5,0.0275492793451692,6.00627793391077,182.517039145578,165.819225580412,13.2842802187797,-0,5.97881556805903
620,5,0.0243521531203912,6.13603151507467,177.64799152348,166.936949105788,13.530504360171,-0,10.1003790121366
625,5,0.0191315823551892,6.24474085376362,172.669270505051,167.363951221917,14.2845705330896,-0,10.1405179974961
630,5,0.0137113753095843,6.32684824792555,167.670394629854,167.356451361287,15.2966842293828,-0,8.19183605122306
635,5,0.00917588738713411,6.38406640466735,162.68037330405,167.047833602934,16.6869113380953,-0,4.32812372099721
640,5,0.00621138913171922,6.42253459596448,157.705911891339,166.544706844755,17.9810280658008,-0,3.05815712164905
645,5,0.00491781133800331,6.45035759713879,152.74486709406,165.923508813051,18.8900942508076,-0,2.08208736941047
650,5,0.00422795022178082,6.47322200103825,147.80440780233,165.154862364984,19.4872206974038,-0,1.87550198839124
655,5,0.00335446136355819,6.4921780300016,142.88091725949,164.284033674496,19.7022960654322,-0,1.55379608986126
660,5,0.002283814628895,6.50627371998273,137.975405772887,163.316964920031,19.8662286058325,-0,1.01969976085134
665,5,0.00127447237451589,6.51516943749126,133.088026701952,162.26193640124,20.5181325338376,-0,0.60415778600605
670,5,0.000622534683219856,6.5199119551356,128.204258575928,161.190144134244,20.5861899578035,-0,0.316523008811489
675,5,0.000344547768049757,6.52232966126377,123.313409386262,160.151140129221,20.2771799262697,-0,0.213325119677002
680,5,0.000318127565485003,6.52398634959761,118.424365935148,159.103688822417,19.8294428687117,-0,0.207774423528705
685,5,0.000375067872284698,6.52571933819203,113.541517674027,158.027701213944,19.3851394510996,-0,0.233847863384787
690,5,0.000262949320779068,6.52731438117469,108.663566727274,156.929724839559,19.1109026062863,-0,0.202658642393503
695,5,-3.14856763068791e-05,6.52789304028587,103.789762499143,155.813470637165,18.6939907883708,-0,0.075648200558033
700,5,-0.000234117605587746,6.52722903208113,98.912952492716,154.710457968821,18.1225202841351,-0,-0.0239639227784989
